,PROCESSO,ROTULO_MANUAL,LEI
446,00119741420098240054,BAN,artigo 1010
447,00119741420098240054,BAN,artigo 85
448,00119741420098240054,BAN,artigo 1022
449,00119741420098240054,BAN,artigo 1022
450,00119741420098240054,BAN,artigo 1022
451,00119741420098240054,BAN,artigo 1022
452,00054375020138240025,CDC,9656/1998
453,00054375020138240025,CDC,10741/2003
454,00054375020138240025,CDC,artigo 538
455,00054375020138240025,CDC,9656/1998
456,00054375020138240025,CDC,10741/2003
457,00054375020138240025,CDC,artigo 538
458,00005492220098240011,FAL,11101/2005
459,00005492220098240011,FAL,artigo 94
460,00005492220098240011,FAL,1101/2005
461,00005492220098240011,FAL,artigo 334
462,00005492220098240011,FAL,artigo 505
463,00005492220098240011,FAL,11101/2005
464,00005492220098240011,FAL,artigo 94
465,00005492220098240011,FAL,1101/2005
466,00005492220098240011,FAL,artigo 334
467,00005492220098240011,FAL,artigo 505
468,00005492220098240011,FAL,11101/2005
469,00005492220098240011,FAL,artigo 94
470,00005492220098240011,FAL,1101/2005
471,00005492220098240011,FAL,artigo 334
472,00005492220098240011,FAL,artigo 505
473,00099623720028240033,CON,artigo 1022
474,00099623720028240033,CON,artigo 431
475,00099623720028240033,CON,artigo 1026
476,00099623720028240033,CON,artigo 1021
477,00099623720028240033,CON,artigo 1022
478,00099623720028240033,CON,artigo 431
479,00099623720028240033,CON,artigo 1026
480,00099623720028240033,CON,artigo 1021
481,00099623720028240033,CON,artigo 1022
482,00099623720028240033,CON,artigo 431
483,00099623720028240033,CON,artigo 1026
484,00099623720028240033,CON,artigo 1021
485,00172990820078240064,SFH,12409/2011
486,00172990820078240064,SFH,artigo 206
487,00172990820078240064,SFH,12409/2011
488,00172990820078240064,SFH,artigo 206
489,00172990820078240064,SFH,artigo 1022
490,00172990820078240064,SFH,artigo 1026
491,00172990820078240064,SFH,artigo 1022
492,00172990820078240064,SFH,artigo 1026
493,00172990820078240064,SFH,12409/2011
494,00172990820078240064,SFH,artigo 206
495,00172990820078240064,SFH,12409/2011
496,00172990820078240064,SFH,artigo 206
497,00172990820078240064,SFH,artigo 1022
498,00172990820078240064,SFH,artigo 1026
499,00172990820078240064,SFH,artigo 1022
500,00172990820078240064,SFH,artigo 1026
501,00172990820078240064,SFH,12409/2011
502,00172990820078240064,SFH,artigo 206
503,00172990820078240064,SFH,12409/2011
504,00172990820078240064,SFH,artigo 206
505,00172990820078240064,SFH,artigo 1022
506,00172990820078240064,SFH,artigo 1026
507,00172990820078240064,SFH,artigo 1022
508,00172990820078240064,SFH,artigo 1026
509,00172990820078240064,SFH,12409/2011
510,00172990820078240064,SFH,artigo 206
511,00172990820078240064,SFH,12409/2011
512,00172990820078240064,SFH,artigo 206
513,00172990820078240064,SFH,artigo 1022
514,00172990820078240064,SFH,artigo 1026
515,00172990820078240064,SFH,artigo 1022
516,00172990820078240064,SFH,artigo 1026
517,00080613920138240036,CON,artigo 39
518,00080613920138240036,CON,artigo 51
519,00080613920138240036,CON,artigo 402
520,00080613920138240036,CON,artigo 416
521,00080613920138240036,CON,artigo 20
522,00080613920138240036,CON,artigo 85
523,01500143120158240000,SFH,12409/2011
524,03000351520148240045,BAN,8078/1990
525,03000351520148240045,BAN,artigo 514
526,03000351520148240045,BAN,artigo 2028
527,03000351520148240045,BAN,artigo 205
528,03000351520148240045,BAN,artigo 2
529,03000351520148240045,BAN,artigo 6
530,03000351520148240045,BAN,artigo 205
531,03000351520148240045,BAN,artigo 42
532,03000351520148240045,BAN,artigo 558
533,03000351520148240045,BAN,artigo 21
534,03000351520148240045,BAN,artigo 20
535,03000351520148240045,BAN,8078/1990
536,03000351520148240045,BAN,artigo 514
537,03000351520148240045,BAN,artigo 2028
538,03000351520148240045,BAN,artigo 205
539,03000351520148240045,BAN,artigo 2
540,03000351520148240045,BAN,artigo 6
541,03000351520148240045,BAN,artigo 205
542,03000351520148240045,BAN,artigo 42
543,03000351520148240045,BAN,artigo 558
544,03000351520148240045,BAN,artigo 21
545,03000351520148240045,BAN,artigo 20
546,03000351520148240045,BAN,artigo 1022
547,03000351520148240045,BAN,artigo 1022
548,03000351520148240045,BAN,8078/1990
549,03000351520148240045,BAN,artigo 514
550,03000351520148240045,BAN,artigo 2028
551,03000351520148240045,BAN,artigo 205
552,03000351520148240045,BAN,artigo 2
553,03000351520148240045,BAN,artigo 6
554,03000351520148240045,BAN,artigo 205
555,03000351520148240045,BAN,artigo 42
556,03000351520148240045,BAN,artigo 558
557,03000351520148240045,BAN,artigo 21
558,03000351520148240045,BAN,artigo 20
559,03000351520148240045,BAN,8078/1990
560,03000351520148240045,BAN,artigo 514
561,03000351520148240045,BAN,artigo 2028
562,03000351520148240045,BAN,artigo 205
563,03000351520148240045,BAN,artigo 2
564,03000351520148240045,BAN,artigo 6
565,03000351520148240045,BAN,artigo 205
